	risk_tolerance	investment_experience	liquidity_needs	platform	time_spent	instrument_type_first_traded	first_deposit_amount	time_horizon	Churn
0	high_risk_tolerance	limited_investment_exp	very_important_liq_need	both	-11.637628301744698	etp	58.293526096376574	med_time_horizon	No
1	high_risk_tolerance	limited_investment_exp	somewhat_important_liq_need	iOS	-15.623207464560089	etp	317.10602584484343	short_time_horizon	No
2	high_risk_tolerance	no_investment_exp	somewhat_important_liq_need	Android	18.903408049209588	stock	-111.4598296196275	short_time_horizon	No
3	high_risk_tolerance	no_investment_exp	very_important_liq_need	iOS	19.203983105219983	stock	-62.81331297056627	long_time_horizon	No
4	high_risk_tolerance	good_investment_exp	very_important_liq_need	iOS	-0.9030428491131355	stock	90.04893568620928	med_time_horizon	No
5	high_risk_tolerance	good_investment_exp	very_important_liq_need	iOS	64.79459650605973	etp	145.7032075582565	short_time_horizon	No
6	high_risk_tolerance	limited_investment_exp	very_important_liq_need	iOS	149.73787434840506	stock	-187.58261948093474	short_time_horizon	No
7	high_risk_tolerance	limited_investment_exp	very_important_liq_need	iOS	24.034025029962745	etp	519.4067227155948	short_time_horizon	No
8	high_risk_tolerance	limited_investment_exp	very_important_liq_need	both	27.850331184774646	etp	2923.1168005191653	med_time_horizon	No
9	high_risk_tolerance	no_investment_exp	very_important_liq_need	iOS	59.27387214142243	stock	-81.1294325483855	long_time_horizon	No
10	high_risk_tolerance	extensive_investment_exp	very_important_liq_need	iOS	72.86703787446552	stock	-101.1179321177533	short_time_horizon	No
11	high_risk_tolerance	no_investment_exp	very_important_liq_need	Android	25.924201230778	mlp	6138.8957646451645	short_time_horizon	No
12	high_risk_tolerance	good_investment_exp	very_important_liq_need	iOS	114.06879287846887	stock	156.1924350936677	long_time_horizon	Yes
13	high_risk_tolerance	no_investment_exp	very_important_liq_need	iOS	12.71161195591143	stock	217.1190760478327	long_time_horizon	No
14	med_risk_tolerance	no_investment_exp	very_important_liq_need	iOS	75.40897177806097	wrt	148.5696864063289	long_time_horizon	No
15	high_risk_tolerance	no_investment_exp	very_important_liq_need	iOS	25.750864642008885	stock	193.54195035694744	short_time_horizon	Yes
16	med_risk_tolerance	no_investment_exp	very_important_liq_need	iOS	15.185957069925148	stock	1127.0119855580806	short_time_horizon	No
17	high_risk_tolerance	good_investment_exp	not_important_liq_need	iOS	16.457966491711694	stock	79.29838283161067	long_time_horizon	No
18	high_risk_tolerance	limited_investment_exp	very_important_liq_need	both	46.61961230882452	stock	235.4311726678053	short_time_horizon	No
19	low_risk_tolerance	limited_investment_exp	very_important_liq_need	iOS	80.97780344397734	etp	99.56811338171539	med_time_horizon	No
